DATAFLOW,LAST UPDATE,freq,crops,strucpro,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:APRO_CPNH1_H(1.0),01/08/23 23:00:00,A,F0000,AR,DK,1986,5.60,
ESTAT:APRO_CPNH1_H(1.0),01/08/23 23:00:00,A,F0000,AR,DK,1987,5.50,
ESTAT:APRO_CPNH1_H(1.0),01/08/23 23:00:00,A,F0000,AR,DK,1988,5.30,
ESTAT:APRO_CPNH1_H(1.0),01/08/23 23:00:00,A,F0000,AR,DK,1989,4.90,
ESTAT:APRO_CPNH1_H(1.0),01/08/23 23:00:00,A,F0000,AR,DK,1990,4.90,
ESTAT:APRO_CPNH1_H(1.0),01/08/23 23:00:00,A,F0000,AR,DK,1991,0.00,
ESTAT:APRO_CPNH1_H(1.0),01/08/23 23:00:00,A,F0000,AR,DK,1992,0.00,
ESTAT:APRO_CPNH1_H(1.0),01/08/23 23:00:00,A,F0000,AR,DK,1993,4.70,
ESTAT:APRO_CPNH1_H(1.0),01/08/23 23:00:00,A,F0000,AR,DK,1994,4.70,
ESTAT:APRO_CPNH1_H(1.0),01/08/23 23:00:00,A,F0000,AR,DK,1995,4.70,
ESTAT:APRO_CPNH1_H(1.0),01/08/23 23:00:00,A,F0000,AR,DK,1996,4.80,
ESTAT:APRO_CPNH1_H(1.0),01/08/23 23:00:00,A,F0000,AR,DK,1997,5.00,
ESTAT:APRO_CPNH1_H(1.0),01/08/23 23:00:00,A,F0000,AR,DK,1998,4.80,
ESTAT:APRO_CPNH1_H(1.0),01/08/23 23:00:00,A,F0000,AR,DK,1999,4.80,
ESTAT:APRO_CPNH1_H(1.0),01/08/23 23:00:00,A,F0000,AR,EE,1987,9.30,
ESTAT:APRO_CPNH1_H(1.0),01/08/23 23:00:00,A,F0000,AR,EE,1988,9.10,
ESTAT:APRO_CPNH1_H(1.0),01/08/23 23:00:00,A,F0000,AR,EE,1989,9.20,
ESTAT:APRO_CPNH1_H(1.0),01/08/23 23:00:00,A,F0000,AR,EE,1990,9.00,
ESTAT:APRO_CPNH1_H(1.0),01/08/23 23:00:00,A,F0000,AR,EE,1991,9.70,
ESTAT:APRO_CPNH1_H(1.0),01/08/23 23:00:00,A,F0000,AR,EE,1992,9.40,
ESTAT:APRO_CPNH1_H(1.0),01/08/23 23:00:00,A,F0000,AR,EE,1993,9.00,
ESTAT:APRO_CPNH1_H(1.0),01/08/23 23:00:00,A,F0000,AR,EE,1994,9.30,
ESTAT:APRO_CPNH1_H(1.0),01/08/23 23:00:00,A,F0000,AR,EE,1995,9.20,
ESTAT:APRO_CPNH1_H(1.0),01/08/23 23:00:00,A,F0000,AR,EE,1996,9.10,
ESTAT:APRO_CPNH1_H(1.0),01/08/23 23:00:00,A,F0000,AR,EE,1997,8.90,
ESTAT:APRO_CPNH1_H(1.0),01/08/23 23:00:00,A,F0000,AR,EE,1998,9.10,
ESTAT:APRO_CPNH1_H(1.0),01/08/23 23:00:00,A,F0000,AR,EE,1999,8.20,
ESTAT:APRO_CPNH1_H(1.0),01/08/23 23:00:00,A,F0000,AR,ES,1964,411.70,
ESTAT:APRO_CPNH1_H(1.0),01/08/23 23:00:00,A,F0000,AR,ES,1965,434.40,
ESTAT:APRO_CPNH1_H(1.0),01/08/23 23:00:00,A,F0000,AR,ES,1966,441.70,
ESTAT:APRO_CPNH1_H(1.0),01/08/23 23:00:00,A,F0000,AR,ES,1967,444.50,
ESTAT:APRO_CPNH1_H(1.0),01/08/23 23:00:00,A,F0000,AR,ES,1968,467.40,
ESTAT:APRO_CPNH1_H(1.0),01/08/23 23:00:00,A,F0000,AR,ES,1969,492.60,
ESTAT:APRO_CPNH1_H(1.0),01/08/23 23:00:00,A,F0000,AR,ES,1970,542.60,
ESTAT:APRO_CPNH1_H(1.0),01/08/23 23:00:00,A,F0000,AR,ES,1971,594.60,
ESTAT:APRO_CPNH1_H(1.0),01/08/23 23:00:00,A,F0000,AR,ES,1972,686.30,
ESTAT:APRO_CPNH1_H(1.0),01/08/23 23:00:00,A,F0000,AR,ES,1973,734.00,
ESTAT:APRO_CPNH1_H(1.0),01/08/23 23:00:00,A,F0000,AR,ES,1974,772.70,
ESTAT:APRO_CPNH1_H(1.0),01/08/23 23:00:00,A,F0000,AR,ES,1975,791.10,
ESTAT:APRO_CPNH1_H(1.0),01/08/23 23:00:00,A,F0000,AR,ES,1976,799.30,
ESTAT:APRO_CPNH1_H(1.0),01/08/23 23:00:00,A,F0000,AR,ES,1977,802.90,
ESTAT:APRO_CPNH1_H(1.0),01/08/23 23:00:00,A,F0000,AR,ES,1978,805.00,
ESTAT:APRO_CPNH1_H(1.0),01/08/23 23:00:00,A,F0000,AR,ES,1979,830.50,
ESTAT:APRO_CPNH1_H(1.0),01/08/23 23:00:00,A,F0000,AR,ES,1980,841.40,
ESTAT:APRO_CPNH1_H(1.0),01/08/23 23:00:00,A,F0000,AR,ES,1981,843.50,
ESTAT:APRO_CPNH1_H(1.0),01/08/23 23:00:00,A,F0000,AR,ES,1982,852.40,
ESTAT:APRO_CPNH1_H(1.0),01/08/23 23:00:00,A,F0000,AR,ES,1983,854.80,
ESTAT:APRO_CPNH1_H(1.0),01/08/23 23:00:00,A,F0000,AR,ES,1984,859.20,
ESTAT:APRO_CPNH1_H(1.0),01/08/23 23:00:00,A,F0000,AR,ES,1985,865.50,
ESTAT:APRO_CPNH1_H(1.0),01/08/23 23:00:00,A,F0000,AR,ES,1986,870.30,
ESTAT:APRO_CPNH1_H(1.0),01/08/23 23:00:00,A,F0000,AR,ES,1987,888.90,
ESTAT:APRO_CPNH1_H(1.0),01/08/23 23:00:00,A,F0000,AR,ES,1988,903.90,
ESTAT:APRO_CPNH1_H(1.0),01/08/23 23:00:00,A,F0000,AR,ES,1989,926.60,
ESTAT:APRO_CPNH1_H(1.0),01/08/23 23:00:00,A,F0000,AR,ES,1990,933.10,
ESTAT:APRO_CPNH1_H(1.0),01/08/23 23:00:00,A,F0000,AR,ES,1991,950.40,
ESTAT:APRO_CPNH1_H(1.0),01/08/23 23:00:00,A,F0000,AR,ES,1992,923.80,
ESTAT:APRO_CPNH1_H(1.0),01/08/23 23:00:00,A,F0000,AR,ES,1993,932.40,
ESTAT:APRO_CPNH1_H(1.0),01/08/23 23:00:00,A,F0000,AR,ES,1994,933.40,
ESTAT:APRO_CPNH1_H(1.0),01/08/23 23:00:00,A,F0000,AR,ES,1995,953.30,
ESTAT:APRO_CPNH1_H(1.0),01/08/23 23:00:00,A,F0000,AR,ES,1996,945.10,
ESTAT:APRO_CPNH1_H(1.0),01/08/23 23:00:00,A,F0000,AR,ES,1997,971.60,
ESTAT:APRO_CPNH1_H(1.0),01/08/23 23:00:00,A,F0000,AR,ES,1998,961.30,
ESTAT:APRO_CPNH1_H(1.0),01/08/23 23:00:00,A,F0000,AR,ES,1999,957.00,
ESTAT:APRO_CPNH1_H(1.0),01/08/23 23:00:00,A,F0000,AR,FI,1984,0.40,
ESTAT:APRO_CPNH1_H(1.0),01/08/23 23:00:00,A,F0000,AR,FI,1985,0.40,
ESTAT:APRO_CPNH1_H(1.0),01/08/23 23:00:00,A,F0000,AR,FI,1986,0.40,
ESTAT:APRO_CPNH1_H(1.0),01/08/23 23:00:00,A,F0000,AR,FI,1987,0.40,
ESTAT:APRO_CPNH1_H(1.0),01/08/23 23:00:00,A,F0000,AR,FI,1988,0.30,
ESTAT:APRO_CPNH1_H(1.0),01/08/23 23:00:00,A,F0000,AR,FI,1989,0.40,
ESTAT:APRO_CPNH1_H(1.0),01/08/23 23:00:00,A,F0000,AR,FI,1990,0.40,
ESTAT:APRO_CPNH1_H(1.0),01/08/23 23:00:00,A,F0000,AR,FI,1991,0.40,
ESTAT:APRO_CPNH1_H(1.0),01/08/23 23:00:00,A,F0000,AR,FI,1992,0.30,
ESTAT:APRO_CPNH1_H(1.0),01/08/23 23:00:00,A,F0000,AR,FI,1993,0.40,
ESTAT:APRO_CPNH1_H(1.0),01/08/23 23:00:00,A,F0000,AR,FI,1994,0.40,
ESTAT:APRO_CPNH1_H(1.0),01/08/23 23:00:00,A,F0000,AR,FI,1995,0.40,
ESTAT:APRO_CPNH1_H(1.0),01/08/23 23:00:00,A,F0000,AR,FI,1996,0.40,
ESTAT:APRO_CPNH1_H(1.0),01/08/23 23:00:00,A,F0000,AR,FI,1997,0.50,
